date,hour,gmv
2017-01-12,12,280839.0
2017-01-12,13,263527.0
2017-01-12,14,228636.0
2017-01-12,15,301682.0
2017-01-12,16,259580.0
2017-01-12,17,173098.0
2017-01-12,18,232633.0
2017-01-12,19,160814.0
2017-01-12,20,186413.0
2017-01-12,21,166050.0
2017-01-12,22,194774.4
2017-01-12,23,235284.0
2017-01-13,0,153528.0
2017-01-13,1,84561.0
2017-01-13,2,27573.0
2017-01-13,3,14962.0
2017-01-13,4,10623.0
2017-01-13,5,15984.0
2017-01-13,6,14322.0
2017-01-13,7,43867.0
2017-01-13,8,98810.0
2017-01-13,9,120877.8
2017-01-13,10,193312.0
2017-01-13,11,212010.0
2017-01-13,12,239368.0
2017-01-13,13,224192.0
2017-01-13,14,220620.0
2017-01-13,15,325545.0
2017-01-13,16,174759.0
2017-01-13,17,240485.0
2017-01-13,18,223638.0
2017-01-13,19,244387.0
2017-01-13,20,221795.0
2017-01-13,21,234679.0
2017-01-13,22,328795.0
2017-01-13,23,307944.0
2017-01-14,0,187217.0
2017-01-14,1,79300.0
2017-01-14,2,46868.0
2017-01-14,3,8801.0
2017-01-14,4,12326.0
2017-01-14,5,16568.0
2017-01-14,6,18522.0
2017-01-14,7,55903.0
2017-01-14,8,104560.0
2017-01-14,9,139393.0
2017-01-14,10,168202.0
2017-01-14,11,219525.0
2017-01-14,12,239554.0
2017-01-14,13,232780.0
2017-01-14,14,221168.0
2017-01-14,15,254725.0
2017-01-14,16,228212.0
2017-01-14,17,227232.0
2017-01-14,18,206260.0
2017-01-14,19,168599.0
2017-01-14,20,183912.0
2017-01-14,21,171003.0
2017-01-14,22,396711.0
2017-01-14,23,339291.0
2017-01-15,0,305579.0
2017-01-15,1,181243.0
2017-01-15,2,99344.0
2017-01-15,3,29883.0
2017-01-15,4,21843.0
2017-01-15,5,16520.0
2017-01-15,6,20889.0
2017-01-15,7,65370.0
2017-01-15,8,110130.0
2017-01-15,9,120978.0
2017-01-15,10,196952.0
2017-01-15,11,181750.0
2017-01-15,12,248650.0
2017-01-15,13,208279.0
2017-01-15,14,221789.0
2017-01-15,15,202596.0
2017-01-15,16,230148.0
2017-01-15,17,172562.0
2017-01-15,18,170199.0
2017-01-15,19,172429.0
2017-01-15,20,177562.0
2017-01-15,21,211667.0
2017-01-15,22,296690.0
2017-01-15,23,256589.0
2017-01-16,0,157343.0
2017-01-16,1,82399.4
2017-01-16,2,54943.0
2017-01-16,3,35670.0
2017-01-16,4,50769.0
2017-01-16,5,2558.0
2017-01-16,6,13367.0
2017-01-16,7,53105.0
2017-01-16,8,118543.0
2017-01-16,9,111999.0
2017-01-16,10,163950.0
2017-01-16,11,232257.0
2017-01-16,12,193016.0
2017-01-16,13,226494.0
2017-01-16,14,197150.0
2017-01-16,15,221927.0
2017-01-16,16,240798.0
2017-01-16,17,216533.0
2017-01-16,18,159549.0
2017-01-16,19,214204.0
2017-01-16,20,189535.0
2017-01-16,21,153007.0
2017-01-16,22,264302.0
2017-01-16,23,277310.0
2017-01-17,0,155606.0
2017-01-17,1,80368.0
2017-01-17,2,35444.0
2017-01-17,3,16516.0
2017-01-17,4,18415.0
2017-01-17,5,14381.0
2017-01-17,6,14328.0
2017-01-17,7,52439.0
2017-01-17,8,95214.0
2017-01-17,9,151713.0
2017-01-17,10,187606.0
2017-01-17,11,226911.0
2017-01-17,12,286754.0
2017-01-17,13,230638.0
2017-01-17,14,228930.0
2017-01-17,15,299537.0
2017-01-17,16,232075.0
2017-01-17,17,252152.0
2017-01-17,18,214204.0
2017-01-17,19,188739.0
2017-01-17,20,226721.0
2017-01-17,21,274824.0
2017-01-17,22,261774.0
2017-01-17,23,255514.0
2017-01-18,0,162954.0
2017-01-18,1,59078.0
2017-01-18,2,44371.0
2017-01-18,3,23456.0
2017-01-18,4,12373.0
2017-01-18,5,8473.0
2017-01-18,6,27836.0
2017-01-18,7,56585.0
2017-01-18,8,123449.0
2017-01-18,9,143893.0
2017-01-18,10,232003.0
2017-01-18,11,254643.0
2017-01-18,12,220653.0
2017-01-18,13,212180.0
2017-01-18,14,301328.0
2017-01-18,15,275438.0
2017-01-18,16,332808.0
2017-01-18,17,243520.0
2017-01-18,18,159696.0
2017-01-18,19,175654.0
2017-01-18,20,218058.0
2017-01-18,21,215721.0
2017-01-18,22,260603.0
2017-01-18,23,227703.0
2017-01-19,0,152246.0
2017-01-19,1,72153.0
2017-01-19,2,37721.0
2017-01-19,3,18702.0
2017-01-19,4,14194.0
2017-01-19,5,14322.0
2017-01-19,6,20515.0
2017-01-19,7,60270.0
2017-01-19,8,102945.0
2017-01-19,9,206157.0
2017-01-19,10,220955.0
2017-01-19,11,274050.0
2017-01-19,12,211752.0
2017-01-19,13,199234.0
2017-01-19,14,207113.0
2017-01-19,15,243305.0
2017-01-19,16,199980.0
2017-01-19,17,208939.0
2017-01-19,18,171440.0
2017-01-19,19,173621.0
2017-01-19,20,164298.0
2017-01-19,21,150893.0
2017-01-19,22,207992.0
2017-01-19,23,202558.0
2017-01-20,0,134403.0
2017-01-20,1,100711.0
2017-01-20,2,17687.0
2017-01-20,3,21948.0
2017-01-20,4,14443.0
2017-01-20,5,8760.0
2017-01-20,6,15144.0
2017-01-20,7,37734.0
2017-01-20,8,103440.0
2017-01-20,9,128648.0
2017-01-20,10,214552.0
2017-01-20,11,234111.0
2017-01-20,12,206920.0
2017-01-20,13,277355.0
2017-01-20,14,233228.0
2017-01-20,15,261471.0
2017-01-20,16,270342.0
2017-01-20,17,185546.0
2017-01-20,18,210186.0
2017-01-20,19,141279.0
2017-01-20,20,154065.0
2017-01-20,21,189596.0
2017-01-20,22,197524.0
2017-01-20,23,234486.0
2017-01-21,0,174390.0
2017-01-21,1,101566.0
2017-01-21,2,40178.0
2017-01-21,3,25665.0
2017-01-21,4,27462.0
2017-01-21,5,6628.0
2017-01-21,6,17732.0
2017-01-21,7,48207.0
2017-01-21,8,93021.0
2017-01-21,9,117878.0
2017-01-21,10,184235.0
2017-01-21,11,226474.0
2017-01-21,12,234696.0
2017-01-21,13,221441.0
2017-01-21,14,218217.0
2017-01-21,15,177949.0
2017-01-21,16,192062.0
2017-01-21,17,172013.0
2017-01-21,18,214859.0
2017-01-21,19,182586.0
2017-01-21,20,171087.0
2017-01-21,21,157173.0
2017-01-21,22,312876.0
2017-01-21,23,334788.0
2017-01-22,0,189161.0
2017-01-22,1,124425.0
2017-01-22,2,62470.0
2017-01-22,3,28113.0
2017-01-22,4,9310.0
2017-01-22,5,22988.0
2017-01-22,6,11346.0
2017-01-22,7,27031.0
2017-01-22,8,79545.0
2017-01-22,9,137431.0
2017-01-22,10,142477.0
2017-01-22,11,176489.0
2017-01-22,12,234416.0
2017-01-22,13,198102.0
2017-01-22,14,190448.0
2017-01-22,15,163105.0
2017-01-22,16,198817.0
2017-01-22,17,233446.0
